Sentence1,Sentence2,Similarity
"The Great Wall of China stretches over 21,000 kilometers.",The Amazon rainforest produces about 20% of the world’s oxygen.,0.06456885
"The Great Wall of China stretches over 21,000 kilometers.",The Eiffel Tower was completed in 1889 for the Paris Exposition.,0.14757577
"The Great Wall of China stretches over 21,000 kilometers.",The Pacific Ocean is the largest ocean on Earth.,0.19645281
"The Great Wall of China stretches over 21,000 kilometers.",The human brain contains approximately 86 billion neurons.,0.23998651
"The Great Wall of China stretches over 21,000 kilometers.",Global oil prices rose sharply after supply disruptions in the Middle East.,0.14561301
"The Great Wall of China stretches over 21,000 kilometers.",India’s Chandrayaan-3 mission successfully landed near the lunar south pole.,0.044704195
"The Great Wall of China stretches over 21,000 kilometers.",The United Nations warned about rising sea levels threatening coastal cities.,0.12787528
"The Great Wall of China stretches over 21,000 kilometers.",The stock market rallied after positive quarterly earnings reports.,-0.039509892
"The Great Wall of China stretches over 21,000 kilometers.",Scientists discovered microplastics in human blood samples.,-0.07390851
"The Great Wall of China stretches over 21,000 kilometers.",Python remains one of the most popular programming languages in data science.,-0.016755117
